﻿Modèle,SN,N° Chargeur,Propriétaire,Statut,Garanti,Contrat,Commentaires,Date Garantie,Provenance,Date,Dernière modification,Dernière modification par
MSI Modern 14,K2401N0110631,,,Disponible,Aucune,Non,,03/07/2024 - 03/07/2027,LDLC,,19 août 2024 13:56,Vivien
MSI Modern 14,K2401N0110599,,,Disponible,Aucune,Non,,03/07/2024 - 03/07/2027,LDLC,,19 août 2024 13:56,Vivien
MSI Modern 14,K2401N0110609,,,Disponible,Aucune,Non,,03/07/2024 - 03/07/2027,LDLC,,19 août 2024 13:56,Vivien
MSI Modern 14,K2401N0110607,,,Disponible,Aucune,Non,,03/07/2024 - 03/07/2027,LDLC,,19 août 2024 13:55,Vivien
MSI Modern 14,K2401N0110576,,,Disponible,Aucune,Non,,03/07/2024 - 03/07/2027,LDLC,,19 août 2024 13:55,Vivien
LDLC SPC-I,SN100091326,,,À RESET,Aucune,Non,,"3 ans, Jusqu'en février 2027",LDLC,,19 août 2024 13:54,Vivien
LDLC SPC-I,SN100091168,,,À RESET,Aucune,Non,,"3 ans, Jusqu'en février 2027",LDLC,,19 août 2024 13:54,Vivien
LDLC SPC-I,SN100091405,,,À RESET,Aucune,Non,,"3 ans, Jusqu'en février 2027",LDLC,,19 août 2024 13:54,Vivien
LDLC SPC-I,SN100092743,,,À RESET,Aucune,Non,tliche mohamed (S02518678 - Tliche Mohammed - Chargeur 15),"3 ans, Jusqu'en février 2027",LDLC,,19 août 2024 13:54,Vivien
LDLC SPC-I,SN100092765,,,À RESET,Aucune,Non,,"3 ans, Jusqu'en février 2027",LDLC,,19 août 2024 13:53,Vivien
LDLC SPC-I,SN100092901,,,À RESET,Aucune,Non,,"3 ans, Jusqu'en février 2027",LDLC,,19 août 2024 13:53,Vivien
LDLC SPC-I,SN100093025,,,À RESET,Aucune,Non,,"3 ans, Jusqu'en février 2027",LDLC,,19 août 2024 13:53,Vivien
LDLC SPC-I,SN100091371,,,À RESET,Aucune,Non,,"3 ans, Jusqu'en février 2027",LDLC,,19 août 2024 13:52,Vivien
LDLC SPC-I,SN100091337,,,À RESET,Aucune,Non,,"3 ans, Jusqu'en février 2027",LDLC,,19 août 2024 13:52,Vivien
LDLC SPC-I,SN100091236,,,À RESET,Aucune,Non,,"3 ans, Jusqu'en février 2027",LDLC,,19 août 2024 13:52,Vivien
LDLC SPC-I,SN100092754,,,À RESET,Aucune,Non,"lebourgeois-maitre abel  (m’a rendu le 8, avait le 15)","3 ans, Jusqu'en février 2027",LDLC,,19 août 2024 13:51,Vivien
LDLC SPC-I,SN100093036,,,À RESET,Aucune,Non,,"3 ans, Jusqu'en février 2027",LDLC,,19 août 2024 13:51,Vivien
LDLC SPC-I,SN100091988,,,À RESET,Aucune,Non,,"3 ans, Jusqu'en février 2027",LDLC,,19 août 2024 13:50,Vivien
LDLC SPC-I,SN100092417,,,Disponible,Aucune,Non,,"3 ans, Jusqu'en février 2027",LDLC,,19 août 2024 13:50,Vivien
ASUS R515EA,N3N0CV22P77413C,X515 1,bdesouza (https://www.notion.so/bdesouza-211318bed4384aba9fda2a5c328eebf2?pvs=21),Promo P2 - 2023,Chèque,Oui,,"Constructeur 2 ans Jusqu'au 31/01/2025, Facture : 31/01/2023
",LDLC,,19 août 2024 09:16,Vivien
HP 240/245 G8,5CG1304QC8,,clecart (https://www.notion.so/clecart-eeefadec75c44bd0b4a376224a633d46?pvs=21),Promo P1 - 2024,Aucune,Non,," 28/10/2021 -  27/10/2022",XEFI,,24 juillet 2024 10:36,Vivien
ASUS S14,R1N0CV12L254053,Chargeur ADP-90LE B,tdelestr (https://www.notion.so/tdelestr-f1cca89b85514c23b96b27338ae83854?pvs=21),Promo P1 - 2023,Aucune,Non,Dualboot,"2 ans, Jusqu'au 25/05/2025",Darty,,16 juillet 2024 11:50,Vivien
